id,value
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Industrial Microbiology,H01.158.273.540.460
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Mycology,H01.158.273.540.553
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Plant Pathology,H01.158.273.540.706
Natural Science Disciplines.Biological Science Disciplines.Biology.Microbiology.Virology,H01.158.273.540.859
Natural Science Disciplines.Biological Science Disciplines.Biology.Natural History,H01.158.273.602
Natural Science Disciplines.Biological Science Disciplines.Biology.Neurobiology,H01.158.273.610
Natural Science Disciplines.Biological Science Disciplines.Biology.Parasitology,H01.158.273.688
Natural Science Disciplines.Biological Science Disciplines.Biology.Parasitology.Food Parasitology,H01.158.273.688.500
Natural Science Disciplines.Biological Science Disciplines.Biology.Photobiology,H01.158.273.738
Natural Science Disciplines.Biological Science Disciplines.Biology.Radiobiology,H01.158.273.789
Natural Science Disciplines.Biological Science Disciplines.Biology.Sociobiology,H01.158.273.866
Natural Science Disciplines.Biological Science Disciplines.Biology.Synthetic Biology,H01.158.273.904
Natural Science Disciplines.Biological Science Disciplines.Biology.Zoology,H01.158.273.943
Natural Science Disciplines.Biological Science Disciplines.Biology.Zoology.Entomology,H01.158.273.943.409
Natural Science Disciplines.Biological Science Disciplines.Biophysics,H01.158.344
Natural Science Disciplines.Biological Science Disciplines.Biophysics.Bionics,H01.158.344.310
Natural Science Disciplines.Biological Science Disciplines.Biophysics.Electrophysiology,H01.158.344.528
Natural Science Disciplines.Biological Science Disciplines.Biophysics.Electrophysiology.Cardiac Electrophysiology,H01.158.344.528.500
Natural Science Disciplines.Biological Science Disciplines.Biotechnology,H01.158.550
Natural Science Disciplines.Biological Science Disciplines.Biotechnology.Biomimetics,H01.158.550.100
Natural Science Disciplines.Biological Science Disciplines.Chronobiology Discipline,H01.158.580
Natural Science Disciplines.Biological Science Disciplines.Neurosciences,H01.158.610
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Cognitive Neuroscience,H01.158.610.030
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neuroanatomy,H01.158.610.060
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neurobiology,H01.158.610.080
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neurochemistry,H01.158.610.110
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neuroendocrinology,H01.158.610.160
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neuropathology,H01.158.610.184
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neuropharmacology,H01.158.610.208
Natural Science Disciplines.Biological Science Disciplines.Neurosciences.Neurophysiology,H01.158.610.268
Natural Science Disciplines.Biological Science Disciplines.Pharmacology,H01.158.703
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Biopharmaceutics,H01.158.703.003
"Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Chemistry, Pharmaceutical",H01.158.703.007
"Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Chemistry, Pharmaceutical.Drug Discovery",H01.158.703.007.675
"Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Chemistry, Pharmaceutical.Drug Discovery.Drug Design",H01.158.703.007.675.500
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Ethnopharmacology,H01.158.703.015
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Neuropharmacology,H01.158.703.030
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Pharmacoepidemiology,H01.158.703.045
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Pharmacogenetics,H01.158.703.052
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Pharmacognosy,H01.158.703.060
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Pharmacognosy.Herbal Medicine,H01.158.703.060.500
"Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Pharmacology, Clinical",H01.158.703.152
Natural Science Disciplines.Biological Science Disciplines.Pharmacology.Psychopharmacology,H01.158.703.546
Natural Science Disciplines.Biological Science Disciplines.Physiology,H01.158.782
Natural Science Disciplines.Biological Science Disciplines.Physiology.Electrophysiology,H01.158.782.236
Natural Science Disciplines.Biological Science Disciplines.Physiology.Electrophysiology.Cardiac Electrophysiology,H01.158.782.236.500
Natural Science Disciplines.Biological Science Disciplines.Physiology.Endocrinology,H01.158.782.323
Natural Science Disciplines.Biological Science Disciplines.Physiology.Endocrinology.Neuroendocrinology,H01.158.782.323.200
Natural Science Disciplines.Biological Science Disciplines.Physiology.Neurophysiology,H01.158.782.562
"Natural Science Disciplines.Biological Science Disciplines.Physiology.Physiology, Comparative",H01.158.782.688
Natural Science Disciplines.Biological Science Disciplines.Physiology.Psychophysiology,H01.158.782.795
Natural Science Disciplines.Biological Science Disciplines.Physiology.Psychophysiology.Neuropsychology,H01.158.782.795.110
Natural Science Disciplines.Biological Science Disciplines.Physiology.Psychophysiology.Psychoneuroimmunology,H01.158.782.795.180
Natural Science Disciplines.Biological Science Disciplines.Toxicology,H01.158.891
Natural Science Disciplines.Biological Science Disciplines.Toxicology.Ecotoxicology,H01.158.891.211
Natural Science Disciplines.Biological Science Disciplines.Toxicology.Forensic Toxicology,H01.158.891.424
Natural Science Disciplines.Biological Science Disciplines.Toxicology.Toxicogenetics,H01.158.891.850
Natural Science Disciplines.Chemistry,H01.181
Natural Science Disciplines.Chemistry.Biochemistry,H01.181.122
"Natural Science Disciplines.Chemistry.Biochemistry.Chemistry, Bioinorganic",H01.181.122.253
Natural Science Disciplines.Chemistry.Biochemistry.Glycomics,H01.181.122.508
Natural Science Disciplines.Chemistry.Biochemistry.Histocytochemistry,H01.181.122.573
Natural Science Disciplines.Chemistry.Biochemistry.Histocytochemistry.Immunohistochemistry,H01.181.122.573.512
